timestamp,location,server,delay_ms,offset_ms,jitter_ms
2026-02-08 22:00:01,Ireland,140.203.204.77,37.56,88.5381,14.5353
2026-02-08 22:00:01,UK,ntp0.cam.ac.uk,52.1143,91.9748,11.6142
2026-02-08 22:00:01,Germany,ptbtime1.ptb.de,71.3988,94.8425,10.6533
2026-02-08 22:00:01,US,time-a-g.nist.g,149.3336,99.1688,9.7043
2026-02-08 22:00:01,Australia,ns1.anu.edu.au,332.014,88.161,115.8745
2026-02-08 22:00:01,Japan,ntp-b3.nict.go.,425.0944,17.5817,76.8665
2026-02-08 22:20:01,Ireland,140.203.204.77,24.7224,84.6853,13.6954
2026-02-08 22:20:01,UK,ntp0.cam.ac.uk,40.2843,87.7775,14.3484
2026-02-08 22:20:01,Germany,ptbtime1.ptb.de,58.0974,92.8502,13.5899
2026-02-08 22:20:01,US,time-a-g.nist.g,105.5312,87.2713,11.41
2026-02-08 22:20:01,Australia,ns1.anu.edu.au,301.6348,82.1395,57.5178
2026-02-08 22:20:01,Japan,ntp-b3.nict.go.,272.6823,80.672,39.0915
2026-02-08 22:40:01,Ireland,140.203.204.77,26.2625,49.4079,8.9489
2026-02-08 22:40:01,UK,ntp0.cam.ac.uk,39.0259,39.1086,22.4207
2026-02-08 22:40:01,Germany,ptbtime1.ptb.de,58.4943,47.3016,12.7564
2026-02-08 22:40:01,US,time-a-g.nist.g,116.4224,40.4895,16.5312
2026-02-08 22:40:01,Australia,ns1.anu.edu.au,305.5341,39.9934,70.2645
2026-02-08 22:40:01,Japan,ntp-b3.nict.go.,284.8219,33.7341,49.0732
2026-02-08 23:00:01,Ireland,140.203.204.77,28.4053,13.6132,15.6423
2026-02-08 23:00:01,UK,ntp0.cam.ac.uk,37.2253,18.5731,13.1087
2026-02-08 23:00:01,Germany,ptbtime1.ptb.de,68.9444,29.435,6.5457
2026-02-08 23:00:01,US,time-a-g.nist.g,116.5002,25.1008,8.3945
2026-02-08 23:00:01,Australia,ns1.anu.edu.au,303.5126,11.6514,41.1655
2026-02-08 23:00:01,Japan,ntp-b3.nict.go.,278.118,24.44,51.686
2026-02-08 23:20:01,Ireland,140.203.204.77,30.7243,5.0017,11.3993
2026-02-08 23:20:01,UK,ntp0.cam.ac.uk,35.7464,10.4921,12.038
2026-02-08 23:20:01,Germany,ptbtime1.ptb.de,62.4047,16.3184,11.8065
2026-02-08 23:20:01,US,time-a-g.nist.g,117.235,3.824,18.732
2026-02-08 23:20:01,Australia,ns1.anu.edu.au,308.5604,0.6111,26.7383
2026-02-08 23:20:01,Japan,ntp-b3.nict.go.,274.7474,8.3516,60.164
2026-02-08 23:40:01,Ireland,140.203.204.77,26.2731,27.791,57.8053
2026-02-08 23:40:01,UK,ntp0.cam.ac.uk,47.6344,1.6622,27.76
2026-02-08 23:40:01,Germany,ptbtime1.ptb.de,61.1734,23.5397,20.7333
2026-02-08 23:40:01,US,time-a-g.nist.g,124.7009,-12.702,44.5729
2026-02-08 23:40:01,Australia,ns1.anu.edu.au,319.5495,-5.768,31.4404
2026-02-08 23:40:01,Japan,ntp-b3.nict.go.,300.0398,4.428,33.8782
2026-02-09 00:00:01,Ireland,140.203.204.77,26.2731,27.791,56.6258
2026-02-09 00:00:01,UK,ntp0.cam.ac.uk,34.9771,30.3362,14.5793
2026-02-09 00:00:01,Germany,ptbtime1.ptb.de,61.1734,23.5397,68.5093
2026-02-09 00:00:01,US,time-a-g.nist.g,108.8266,28.2455,17.9672
2026-02-09 00:00:01,Australia,ns1.anu.edu.au,343.4244,31.1431,40.9864
2026-02-09 00:00:01,Japan,ntp-b3.nict.go.,274.5835,23.588,50.5665
2026-02-09 00:20:01,Ireland,140.203.204.77,52.5625,68.4781,78.4088
2026-02-09 00:20:01,UK,ntp0.cam.ac.uk,35.2911,50.9309,59.0131
2026-02-09 00:20:01,Germany,ptbtime1.ptb.de,80.4721,30.3921,101.9427
2026-02-09 00:20:01,US,time-a-g.nist.g,114.4316,59.0596,87.2145
2026-02-09 00:20:01,Australia,ns1.anu.edu.au,338.5462,68.2738,77.7175
2026-02-09 00:20:01,Japan,ntp-b3.nict.go.,285.4676,67.1606,61.0886
2026-02-09 00:40:01,Ireland,140.203.204.77,49.6532,76.6583,73.86
2026-02-09 00:40:01,UK,ntp0.cam.ac.uk,46.7402,37.7682,168.8799
2026-02-09 00:40:01,Germany,ptbtime1.ptb.de,82.492,40.9651,129.2303
2026-02-09 00:40:01,US,time-a-g.nist.g,153.6962,77.3192,108.5632
2026-02-09 00:40:01,Australia,ns1.anu.edu.au,423.8794,2.8715,107.153
2026-02-09 00:40:01,Japan,ntp-b3.nict.go.,353.5993,76.9292,160.3443
2026-02-09 01:00:01,Ireland,140.203.204.77,33.9418,22.182,146.6357
2026-02-09 01:00:01,UK,ntp0.cam.ac.uk,72.2917,47.2347,153.6372
2026-02-09 01:00:01,Germany,ptbtime1.ptb.de,68.472,30.3008,11.4787
2026-02-09 01:00:01,US,time-a-g.nist.g,154.3795,31.9217,156.6935
2026-02-09 01:00:01,Australia,ns1.anu.edu.au,418.3844,-11.5155,180.6785
2026-02-09 01:00:01,Japan,ntp-b3.nict.go.,394.0397,13.5776,132.3271
2026-02-09 01:20:01,Ireland,140.203.204.77,63.4642,5.0658,4.3879
2026-02-09 01:20:01,Australia,ns1.anu.edu.au,417.3095,-42.1338,40.1261
2026-02-09 01:40:01,Ireland,140.203.204.77,60.2463,2.5888,207.5059
2026-02-09 01:40:01,UK,ntp0.cam.ac.uk,66.0037,-1.6822,268.7233
2026-02-09 01:40:01,Germany,ptbtime1.ptb.de,91.8088,-1.955,193.8124
2026-02-09 01:40:01,US,time-a-g.nist.g,134.0498,-8.9225,176.5145
2026-02-09 01:40:01,Australia,ns1.anu.edu.au,402.7098,156.2174,178.0286
2026-02-09 01:40:01,Japan,ntp-b3.nict.go.,283.5537,174.6954,169.4625
2026-02-09 02:00:01,Ireland,140.203.204.77,39.3632,184.3714,88.8777
2026-02-09 02:00:01,UK,ntp0.cam.ac.uk,82.5877,167.0078,156.6141
2026-02-09 02:00:01,Germany,ptbtime1.ptb.de,96.8122,197.6722,104.8975
2026-02-09 02:00:01,US,time-a-g.nist.g,144.4388,178.1904,78.6132
2026-02-09 02:00:01,Australia,ns1.anu.edu.au,363.2184,125.8507,60.8328
2026-02-09 02:00:01,Japan,ntp-b3.nict.go.,283.5537,174.6954,165.712
2026-02-09 02:20:01,Ireland,140.203.204.77,57.4211,105.8037,102.9502
2026-02-09 02:20:01,UK,ntp0.cam.ac.uk,69.3567,111.096,104.774
2026-02-09 02:20:01,Germany,ptbtime1.ptb.de,101.9911,105.421,28.9214
2026-02-09 02:20:01,US,time-a-g.nist.g,147.8593,105.3478,101.3882
2026-02-09 02:20:01,Australia,ns1.anu.edu.au,372.4897,-97.8792,57.17
2026-02-09 02:20:01,Japan,ntp-b3.nict.go.,347.7514,96.7139,159.6383
2026-02-09 02:40:01,Ireland,140.203.204.77,50.9059,80.161,103.5516
2026-02-09 02:40:01,UK,ntp0.cam.ac.uk,69.3567,111.096,92.7243
2026-02-09 02:40:01,Germany,ptbtime1.ptb.de,96.0781,99.147,26.3606
2026-02-09 02:40:01,US,time-a-g.nist.g,145.3249,108.8597,93.0435
2026-02-09 02:40:01,Australia,ns1.anu.edu.au,382.4008,82.3274,143.8609
2026-02-09 02:40:01,Japan,ntp-b3.nict.go.,307.882,86.5617,113.8097
2026-02-09 03:00:01,Ireland,140.203.204.77,50.9059,80.161,102.996
2026-02-09 03:00:01,UK,ntp0.cam.ac.uk,72.4956,83.5654,114.7591
2026-02-09 03:00:01,Germany,ptbtime1.ptb.de,108.3522,32.6484,93.5551
2026-02-09 03:00:01,US,time-a-g.nist.g,125.4531,39.4036,97.2697
2026-02-09 03:00:01,Australia,ns1.anu.edu.au,382.4008,82.3274,155.9152
2026-02-09 03:00:01,Japan,ntp-b3.nict.go.,307.882,86.5617,116.6434
2026-02-09 03:20:01,Ireland,140.203.204.77,67.36,52.6422,108.1023
2026-02-09 03:20:01,UK,ntp0.cam.ac.uk,72.4956,83.5654,114.7591
2026-02-09 03:20:01,Germany,ptbtime1.ptb.de,105.9873,33.583,87.1356
2026-02-09 03:20:01,US,time-a-g.nist.g,125.4531,39.4036,100.4754
2026-02-09 03:20:01,Australia,ns1.anu.edu.au,395.2003,-27.0639,219.2719
2026-02-09 03:20:01,Japan,ntp-b3.nict.go.,288.3221,28.1459,98.9958
2026-02-09 03:40:01,Ireland,140.203.204.77,50.4337,6.624,137.4255
2026-02-09 03:40:01,UK,ntp0.cam.ac.uk,72.4956,83.5654,119.6935
2026-02-09 03:40:01,Germany,ptbtime1.ptb.de,95.7797,10.3421,101.9396
2026-02-09 03:40:01,US,time-a-g.nist.g,138.3727,4.9872,98.9177
2026-02-09 03:40:01,Australia,ns1.anu.edu.au,395.2003,-27.0639,187.4148
2026-02-09 03:40:01,Japan,ntp-b3.nict.go.,288.3221,28.1459,81.4392
2026-02-09 04:00:01,Ireland,140.203.204.77,50.4337,6.624,118.13
2026-02-09 04:00:01,UK,ntp0.cam.ac.uk,108.4308,-20.5363,208.2736
2026-02-09 04:00:01,Germany,ptbtime1.ptb.de,95.7797,10.3421,98.7242
2026-02-09 04:00:01,US,time-a-g.nist.g,138.3727,4.9872,95.7932
2026-02-09 04:00:01,Australia,ns1.anu.edu.au,430.026,-31.4143,217.6876
2026-02-09 04:00:01,Japan,ntp-b3.nict.go.,288.3221,28.1459,78.6718
2026-02-09 04:20:01,Ireland,140.203.204.77,50.4337,6.624,118.13
2026-02-09 04:20:01,UK,ntp0.cam.ac.uk,108.4308,-20.5363,211.3436
2026-02-09 04:20:01,Germany,ptbtime1.ptb.de,72.1595,19.7136,74.9866
2026-02-09 04:20:01,US,time-a-g.nist.g,167.6016,45.8471,85.6744
2026-02-09 04:20:01,Australia,ns1.anu.edu.au,395.2003,-27.0639,182.5641
2026-02-09 04:20:01,Japan,ntp-b3.nict.go.,288.3221,28.1459,95.6856
2026-02-09 04:40:01,Ireland,140.203.204.77,50.4337,6.624,118.13
2026-02-09 04:40:01,UK,ntp0.cam.ac.uk,73.9026,19.3102,154.3066
2026-02-09 04:40:01,Germany,ptbtime1.ptb.de,72.1595,19.7136,55.9696
2026-02-09 04:40:01,US,time-a-g.nist.g,138.3727,4.9872,110.9608
2026-02-09 04:40:01,Australia,ns1.anu.edu.au,448.4773,1.0078,121.6848
2026-02-09 04:40:01,Japan,ntp-b3.nict.go.,288.3221,28.1459,126.6975
2026-02-09 05:00:01,Ireland,140.203.204.77,50.4337,6.624,118.13
2026-02-09 05:00:01,UK,ntp0.cam.ac.uk,73.9026,19.3102,154.3066
2026-02-09 05:00:01,Germany,ptbtime1.ptb.de,72.1595,19.7136,69.7236
2026-02-09 05:00:01,US,time-a-g.nist.g,141.8018,40.7949,49.2712
2026-02-09 05:00:01,Australia,ns1.anu.edu.au,448.4773,1.0078,121.6848
2026-02-09 05:00:01,Japan,ntp-b3.nict.go.,443.624,-13.0782,140.0671
2026-02-09 05:20:01,Ireland,140.203.204.77,72.7562,41.8524,98.8749
2026-02-09 05:20:01,UK,ntp0.cam.ac.uk,73.9026,19.3102,154.3066
2026-02-09 05:20:01,Germany,ptbtime1.ptb.de,72.1595,19.7136,114.27
2026-02-09 05:20:01,US,time-a-g.nist.g,141.8018,40.7949,53.8806
2026-02-09 05:20:01,Australia,ns1.anu.edu.au,448.4773,1.0078,157.5567
2026-02-09 05:20:01,Japan,ntp-b3.nict.go.,443.624,-13.0782,139.8447
2026-02-09 05:40:01,Ireland,140.203.204.77,72.7562,41.8524,110.802
2026-02-09 05:40:01,UK,ntp0.cam.ac.uk,73.9026,19.3102,154.3066
2026-02-09 05:40:01,Germany,ptbtime1.ptb.de,105.6919,74.7648,102.6536
2026-02-09 05:40:01,US,time-a-g.nist.g,141.8018,40.7949,72.4419
2026-02-09 05:40:01,Australia,ns1.anu.edu.au,448.4773,1.0078,187.3801
2026-02-09 05:40:01,Japan,ntp-b3.nict.go.,306.7616,66.7439,152.2189
2026-02-09 06:00:01,Ireland,140.203.204.77,72.5992,84.7914,106.039
2026-02-09 06:00:01,UK,ntp0.cam.ac.uk,73.9026,19.3102,182.0694
2026-02-09 06:00:01,Germany,ptbtime1.ptb.de,105.6919,74.7648,111.732
2026-02-09 06:00:01,US,time-a-g.nist.g,135.2988,74.0395,48.8452
2026-02-09 06:00:01,Australia,ns1.anu.edu.au,448.4773,1.0078,192.1101
2026-02-09 06:00:01,Japan,ntp-b3.nict.go.,306.7616,66.7439,179.5538
